SKU,ONYX BLACK,WHITE SHAKER,ESPRESSO SHAKER,SIGNATURE BLUE,Grey Shaker,Uptown White,Modern Slate,Dark Green Slim Shaker,Gray Shaker
B09,476.0,433.0,476.0,476.0,433.0,476.0,476.0,476.0,
B12,618.0,562.0,618.0,618.0,562.0,618.0,618.0,618.0,
B15,677.0,615.0,677.0,677.0,615.0,677.0,677.0,677.0,
B18,706.0,642.0,706.0,706.0,642.0,706.0,706.0,706.0,
BWBK18-2,1311.0,1192.0,1311.0,1311.0,1192.0,1311.0,1311.0,1311.0,
B21,754.0,685.0,754.0,754.0,685.0,754.0,754.0,754.0,
B24,806.0,733.0,806.0,806.0,733.0,806.0,806.0,806.0,
B27,971.0,883.0,971.0,971.0,883.0,971.0,971.0,971.0,
B30,1007.0,915.0,1007.0,1007.0,915.0,1007.0,1007.0,1007.0,
B33,1054.0,958.0,1054.0,1054.0,958.0,1054.0,1054.0,1054.0,
B36,1095.0,995.0,1095.0,1095.0,995.0,1095.0,1095.0,1095.0,
B42,1330.0,1209.0,1330.0,1330.0,1209.0,1330.0,1330.0,1330.0,
B09FHD,421.0,383.0,421.0,421.0,383.0,421.0,421.0,421.0,
B24FHD,751.0,683.0,751.0,751.0,683.0,751.0,751.0,751.0,
3DB12,883.0,803.0,883.0,883.0,803.0,883.0,883.0,883.0,
3DB15,942.0,856.0,942.0,942.0,856.0,942.0,942.0,942.0,
3DB18,982.0,893.0,982.0,982.0,893.0,982.0,982.0,982.0,
3DB21,1024.0,931.0,1024.0,1024.0,931.0,1024.0,1024.0,1024.0,
3DB24,1071.0,974.0,1071.0,1071.0,974.0,1071.0,1071.0,1071.0,
3DB30,1172.0,1065.0,1172.0,1172.0,1065.0,1172.0,1172.0,1172.0,
3DB36,1312.0,1193.0,1312.0,1312.0,1193.0,1312.0,1312.0,1312.0,
2DB24,1071.0,974.0,1071.0,1071.0,974.0,1071.0,1071.0,1071.0,
2DB30,1172.0,1065.0,1172.0,1172.0,1065.0,1172.0,1172.0,1172.0,
2DB36,1312.0,1193.0,1312.0,1312.0,1193.0,1312.0,1312.0,1312.0,
SB30,741.0,674.0,741.0,741.0,674.0,741.0,741.0,741.0,
SB33,794.0,722.0,794.0,794.0,722.0,794.0,794.0,794.0,
SB36,812.0,738.0,812.0,812.0,738.0,812.0,812.0,812.0,
SB42,883.0,803.0,883.0,883.0,803.0,883.0,883.0,883.0,
FSM36,880.0,800.0,880.0,880.0,800.0,880.0,880.0,880.0,
CSB42,982.0,893.0,982.0,982.0,893.0,982.0,982.0,982.0,
BLS36-SP,1165.0,1059.0,1165.0,1165.0,1059.0,1165.0,1165.0,1165.0,
BBC42,1036.0,942.0,1036.0,1036.0,942.0,1036.0,1036.0,1036.0,
BWRC6,517.0,470.0,517.0,517.0,470.0,517.0,517.0,517.0,
SP09,494.0,449.0,494.0,494.0,449.0,494.0,494.0,494.0,
BEC24,1030.0,936.0,1030.0,1030.0,936.0,1030.0,1030.0,1030.0,
BES09L/R,648.0,589.0,648.0,648.0,589.0,648.0,648.0,648.0,
PC188424,1472.0,1338.0,1472.0,1472.0,1338.0,1472.0,1472.0,1472.0,
PC189024,1577.0,1434.0,1577.0,1577.0,1434.0,1577.0,1577.0,1577.0,
PC189624,1625.0,1477.0,1625.0,1625.0,1477.0,1625.0,1625.0,1625.0,
PC248424,1707.0,1552.0,1707.0,1707.0,1552.0,1707.0,1707.0,1707.0,
PC249024,1806.0,1642.0,1806.0,1806.0,1642.0,1806.0,1806.0,1806.0,
PC249624,1871.0,1701.0,1871.0,1871.0,1701.0,1871.0,1871.0,1871.0,
PC308424,2119.0,1926.0,2119.0,2119.0,1926.0,2119.0,2119.0,2119.0,
PC309024,2284.0,2076.0,2284.0,2284.0,2076.0,2284.0,2284.0,2284.0,
PC309624,2472.0,2247.0,2472.0,2472.0,2247.0,2472.0,2472.0,2472.0,
OC338424,2349.0,2135.0,2349.0,2349.0,2135.0,2349.0,2349.0,2349.0,
OC339024,2395.0,2177.0,2395.0,2395.0,2177.0,2395.0,2395.0,2395.0,
OC339624,2419.0,2199.0,2419.0,2419.0,2199.0,2419.0,2419.0,2419.0,
W0930,376.0,342.0,376.0,376.0,342.0,376.0,376.0,376.0,
W1230,394.0,358.0,394.0,394.0,358.0,394.0,394.0,394.0,
W1530,424.0,385.0,424.0,424.0,385.0,424.0,424.0,424.0,
W1530GD,451.0,410.0,451.0,451.0,410.0,451.0,451.0,451.0,
W1830,459.0,417.0,459.0,459.0,417.0,459.0,459.0,459.0,
W1830GD,491.0,446.0,491.0,491.0,446.0,491.0,491.0,491.0,
W2130,494.0,449.0,494.0,494.0,449.0,494.0,494.0,494.0,
W2430,541.0,492.0,541.0,541.0,492.0,541.0,541.0,541.0,
W2730,589.0,535.0,589.0,589.0,535.0,589.0,589.0,589.0,
W3030,624.0,567.0,624.0,624.0,567.0,624.0,624.0,624.0,
W3030GD,668.0,607.0,668.0,668.0,607.0,668.0,668.0,668.0,
W3330,666.0,605.0,666.0,666.0,605.0,666.0,666.0,666.0,
W3630,694.0,631.0,694.0,694.0,631.0,694.0,694.0,694.0,
W3630GD,743.0,675.0,743.0,743.0,675.0,743.0,743.0,743.0,
W4230,736.0,669.0,736.0,736.0,669.0,736.0,736.0,736.0,
W0936,388.0,353.0,388.0,388.0,353.0,388.0,388.0,388.0,
W1236,424.0,385.0,424.0,424.0,385.0,424.0,424.0,424.0,
W1536,465.0,423.0,465.0,465.0,423.0,465.0,465.0,465.0,
W1536GD,497.0,452.0,497.0,497.0,452.0,497.0,497.0,497.0,
W1836,536.0,487.0,536.0,536.0,487.0,536.0,536.0,536.0,
W1836GD,573.0,521.0,573.0,573.0,521.0,573.0,573.0,573.0,
W2136,565.0,514.0,565.0,565.0,514.0,565.0,565.0,565.0,
W2436,606.0,551.0,606.0,606.0,551.0,606.0,606.0,606.0,
W2736,648.0,589.0,648.0,648.0,589.0,648.0,648.0,648.0,
W3036,694.0,631.0,694.0,694.0,631.0,694.0,694.0,694.0,
W3036GD,743.0,675.0,743.0,743.0,675.0,743.0,743.0,743.0,
W3336,741.0,674.0,741.0,741.0,674.0,741.0,741.0,741.0,
W3636,771.0,701.0,771.0,771.0,701.0,771.0,771.0,771.0,
W3636GD,825.0,750.0,825.0,825.0,750.0,825.0,825.0,825.0,
W4236,818.0,744.0,818.0,818.0,744.0,818.0,818.0,818.0,
W0942,465.0,423.0,465.0,465.0,423.0,465.0,465.0,465.0,
W1242,459.0,417.0,459.0,459.0,417.0,459.0,459.0,459.0,
W1542,518.0,471.0,518.0,518.0,471.0,518.0,518.0,518.0,
W1542GD,554.0,504.0,554.0,554.0,504.0,554.0,554.0,554.0,
W1515,396.0,360.0,396.0,396.0,360.0,396.0,396.0,396.0,
W1515GD,484.0,440.0,484.0,484.0,440.0,484.0,484.0,484.0,
W1815,396.0,360.0,396.0,396.0,360.0,396.0,396.0,396.0,
W1815GD,484.0,440.0,484.0,484.0,440.0,484.0,484.0,484.0,
W1842,565.0,514.0,565.0,565.0,514.0,565.0,565.0,565.0,
W1842GD,605.0,550.0,605.0,605.0,550.0,605.0,605.0,605.0,
