SKU,GLOSSY WHITE,SLICED OAK SHAKER,BLACK WALNUT,WEATHERED OAK SHAKER,GLOSSY GREY,NATURAL OAK,WHITE OAK,MATTE WHITE,MATTE GREY,MATTE BLUE,GLOSSY BLACK,SLICED OAK,WEATHERED OAK
B12,747.5,729.33,709.9,729.33,747.5,688.16,688.16,747.5,747.5,747.5,747.5,,
B15,828.23,805.46,781.2,805.46,828.23,753.83,753.83,828.23,828.23,828.23,828.23,,
B18,908.85,881.59,852.38,881.59,908.85,819.61,819.61,908.85,908.85,908.85,908.85,,
BTC18,1358.5,1331.24,1302.03,1331.24,1358.5,1269.26,1269.26,1358.5,1358.5,1358.5,1358.5,,
B21,989.58,957.72,923.57,957.72,989.58,885.27,885.27,989.58,989.58,989.58,989.58,,
B24,1087.56,1051.1,1012.35,1051.1,1087.56,968.65,968.65,1087.56,1087.56,1087.56,1087.56,,
B27,1168.17,1127.12,1083.42,1127.12,1168.17,1034.31,1034.31,1168.17,1168.17,1168.17,1168.17,,
B30,1254.42,1208.88,1160.35,1208.88,1254.42,1105.61,1105.61,1254.42,1254.42,1254.42,1254.42,,
B33,1335.04,1284.9,1231.42,1284.9,1335.04,1171.28,1171.28,1335.04,1335.04,1335.04,1335.04,,
B36,1415.65,1360.91,1302.49,1360.91,1415.65,1236.83,1236.83,1415.65,1415.65,1415.65,1415.65,,
B09FD,515.43,501.86,487.26,501.86,515.43,470.93,470.93,515.43,515.43,515.43,515.43,,
B12FD,747.96,729.68,710.24,729.68,747.96,688.39,688.39,747.96,747.96,747.96,747.96,,
B15FD,828.69,805.92,781.54,805.92,828.69,754.06,754.06,828.69,828.69,828.69,828.69,,
B18FD,909.54,882.05,852.84,882.05,909.54,819.84,819.84,909.54,909.54,909.54,909.54,,
B21FD,990.38,958.3,924.14,958.3,990.38,885.62,885.62,990.38,990.38,990.38,990.38,,
B24FD,1088.13,1051.68,1012.81,1051.68,1088.13,968.99,968.99,1088.13,1088.13,1088.13,1088.13,,
B27FD,1168.86,1127.81,1083.99,1127.81,1168.86,1034.66,1034.66,1168.86,1168.86,1168.86,1168.86,,
B30FD,1255.34,1209.57,1160.93,1209.57,1255.34,1106.07,1106.07,1255.34,1255.34,1255.34,1255.34,,
B33FD,1335.96,1285.7,1232.11,1285.7,1335.96,1171.74,1171.74,1335.96,1335.96,1335.96,1335.96,,
B36FD,1416.69,1361.83,1303.18,1361.83,1416.69,1237.4,1237.4,1416.69,1416.69,1416.69,1416.69,,
3DB12,1113.32,1095.15,1075.94,1095.15,1113.32,1054.21,1054.21,1113.32,1113.32,1113.32,1113.32,,
