Margin (%),Matte White Total,Modern Oak Total
0,132256.35,104617.11
1,133592.27,105673.85
2,134955.46,106752.16
3,136346.75,107852.7
4,137767.03,108976.16
5,139217.21,110123.28
6,140698.24,111294.8
7,142211.13,112491.52
8,143756.9,113714.26
9,145336.65,114963.86
10,146951.5,116241.24
11,148602.64,117547.32
12,150291.31,118883.09
13,152018.79,120249.56
14,153786.45,121647.81
15,155595.7,123078.96
16,157448.03,124544.18
17,159345.0,126044.72
18,161288.23,127581.85
19,163279.44,129156.93
20,165320.44,130771.39
21,167413.1,132426.73
22,169559.42,134124.51
23,171761.49,135866.38
24,174021.51,137654.1
25,176341.8,139489.49
26,178724.8,141374.48
27,181173.08,143311.12
28,183689.37,145301.55
29,186276.55,147348.05
30,188937.64,149453.02
31,191675.87,151619.01
32,194494.63,153848.7
33,197397.54,156144.95
34,200388.41,158510.78
35,203471.31,160949.41
36,206650.55,163464.24
37,209930.71,166058.91
38,213316.69,168737.28
39,216813.69,171503.47
40,220427.25,174361.86
41,224163.3,177317.14
42,228028.19,180374.34
43,232028.68,183538.8
44,236172.05,186816.28
45,240466.09,190212.94
46,244919.16,193735.4
47,249540.28,197390.78
48,254339.13,201186.76
49,259326.17,205131.6
50,264512.7,209234.23
